File Name,T/V,N,NB,P,Q,Time,Gflops
20170327_035001.out,WR11R2C4,44640,180,2,2,1788.85,3.315e+01
20170327_105001.out,WR11R2C4,44640,180,2,2,1788.70,3.316e+01
20170327_065001.out,WR11R2C4,44640,180,2,2,1795.31,3.303e+01
20170327_045001.out,WR11R2C4,44640,180,2,2,1796.26,3.302e+01
20170327_075001.out,WR11R2C4,44640,180,2,2,1792.89,3.308e+01
20170327_205001.out,WR11R2C4,44640,180,2,2,1791.88,3.310e+01
20170327_145001.out,WR11R2C4,44640,180,2,2,1795.91,3.302e+01
20170327_235001.out,WR11R2C4,44640,180,2,2,1790.18,3.313e+01
20170326_235001.out,WR11R2C4,44640,180,2,2,1799.04,3.297e+01
20170327_115001.out,WR11R2C4,44640,180,2,2,1807.72,3.281e+01
20170328_025001.out,WR11R2C4,44640,180,2,2,1792.99,3.308e+01
20170327_195002.out,WR11R2C4,44640,180,2,2,1787.51,3.318e+01
20170328_045001.out,WR11R2C4,44640,180,2,2,1792.02,3.309e+01
20170327_095001.out,WR11R2C4,44640,180,2,2,1784.25,3.324e+01
20170327_215001.out,WR11R2C4,44640,180,2,2,1810.01,3.277e+01
20170327_185001.out,WR11R2C4,44640,180,2,2,1798.91,3.297e+01
20170327_055001.out,WR11R2C4,44640,180,2,2,1793.29,3.307e+01
20170327_155001.out,WR11R2C4,44640,180,2,2,1797.57,3.299e+01
20170327_135001.out,WR11R2C4,44640,180,2,2,1799.41,3.296e+01
20170327_165001.out,WR11R2C4,44640,180,2,2,1804.33,3.287e+01
20170327_125002.out,WR11R2C4,44640,180,2,2,1795.88,3.302e+01
20170327_005001.out,WR11R2C4,44640,180,2,2,1790.41,3.312e+01
20170328_035001.out,WR11R2C4,44640,180,2,2,1796.66,3.301e+01
20170327_225001.out,WR11R2C4,44640,180,2,2,1800.59,3.294e+01
20170327_085001.out,WR11R2C4,44640,180,2,2,1792.39,3.309e+01
20170328_005002.out,WR11R2C4,44640,180,2,2,1802.98,3.289e+01
20170328_015001.out,WR11R2C4,44640,180,2,2,1804.81,3.286e+01
20170327_175001.out,WR11R2C4,44640,180,2,2,1801.73,3.292e+01
20170327_025001.out,WR11R2C4,44640,180,2,2,1799.93,3.295e+01
20170327_015001.out,WR11R2C4,44640,180,2,2,1808.25,3.280e+01
